DateTime,AddedIPs,RemovedIPs
1530101522,2,0
1530102123,7,0
1530102721,1,0
1530103322,5,0
1530104522,11,0
1530105722,3,0
1530106921,3,0
1530108122,2,0
1530109323,9,0
1530111722,4,0
1530112322,1,0
1530112922,1,0
1530114121,2,0
1530115322,2,0
1530116522,12,0
1530117123,5,0
1530117722,13,0
1530118922,9,0
1530120122,10,0
1530120721,1,0
1530121322,1,0
1530122522,2,0
1530123122,10,0
1530123721,15,0
1530124922,2,0
1530125434,1,0
1530126121,6,0
1530127321,3,0
1530127981,1,0
1530128522,28,0
1530130321,6,0
1530130922,9,1
1530132122,7,0
1530133321,4,0
1530134521,2,0
1530135121,7,0
1530135721,2,0
1530136923,2,0
1530137521,9,0
1530138121,2,0
1530138721,2,0
1530139922,4,0
1530140522,2,0
1530141721,3,0
1530142322,2,0
1530142921,1,0
1530143522,1,1
1530144123,5,0
1530144722,3,0
1530145322,2,0
1530146522,2,0
1530147721,1,0
1530148922,1,0
1530150121,9,0
1530150722,8,0
1530151322,21,0
1530151922,12,0
1530152522,2,0
1530153121,7,0
1530153722,1,0
1530154975,2,0
1530155761,17,0
1530156121,6,0
1530156781,5,0
1530157321,3,0
1530157922,5,0
1530158536,6,0
1530159722,16,0
1530160322,1,0
1530160922,3,0
1530161522,8,0
1530162122,15,0
1530163321,13,0
1530163921,2,0
1530165722,5,1
1530166922,9,0
1530167147,1,0
1530167582,14,0
1530168193,16,0
1530168722,19,0
1530169322,1,0
1530169922,2,0
1530170521,4,0
1530171722,5,0
1530172322,3,0
1530172922,4,0
1530173522,16,0
1530174122,20,0
1530174722,8,0
1530175322,3,0
1530175921,1,0
1530176521,1,0
1530177722,15,0
1530180122,14,0
1530181321,11,0
1530181922,2,0
1530183722,42,0
1530184321,12,0
1530184922,16,0
1530186122,9,0
1530187321,4,0
1530187922,1,0
1530188521,1,0
1530189122,1,0
1530189721,13,0
1530190321,16,0
1530190921,4,0
1530191522,10,0
1530192122,3,0
1530193322,2,0
1530194522,1,0
1530196922,4,0
1530197521,8,0
1530198122,1,0
1530200522,1,0
1530201721,2,0
1530203522,18,0
1530205321,3,0
1530205921,15,0
1530206521,4,0
1530207121,2,0
1530207721,1,0
1530208321,5,0
1530208922,1,0
1530209521,3,0
1530210121,2,0
1530211322,1,0
